country	partner	year	key1	key2	key3	key4	export	gdp_c	gdp_p	distance
Argentina	Czech Republic	2000	ArgentinaCzech Republic	ArgentinaCzech Republic2000	Argentina2000	Czech Republic2000	9.9	284410	159697.36	11836.83
Argentina	Czech Republic	2005	ArgentinaCzech Republic	ArgentinaCzech Republic2005	Argentina2005	Czech Republic2005	43.7	181357	217658.88	11836.83
Argentina	Czech Republic	2008	ArgentinaCzech Republic	ArgentinaCzech Republic2008	Argentina2008	Czech Republic2008	59.1	324405	269837.73	11836.83
Argentina	Czech Republic	2009	ArgentinaCzech Republic	ArgentinaCzech Republic2009	Argentina2009	Czech Republic2009	33.9	305763	268945.17	11836.83
Argentina	Denmark	1995	ArgentinaDenmark	ArgentinaDenmark1995	Argentina1995	Denmark1995	152.7	258217	120026.08	12089.47
Argentina	Denmark	2000	ArgentinaDenmark	ArgentinaDenmark2000	Argentina2000	Denmark2000	328.1	284410	153875.93	12089.47
Argentina	Denmark	2005	ArgentinaDenmark	ArgentinaDenmark2005	Argentina2005	Denmark2005	453.9	181357	179888.49	12089.47
Argentina	Denmark	2008	ArgentinaDenmark	ArgentinaDenmark2008	Argentina2008	Denmark2008	958.1	324405	218808.64	12089.47
Argentina	Denmark	2009	ArgentinaDenmark	ArgentinaDenmark2009	Argentina2009	Denmark2009	800.9	305763	211357.56	12089.47
Argentina	Estonia	1995	ArgentinaEstonia	ArgentinaEstonia1995	Argentina1995	Estonia1995	0.9	258217	9072.1257	12925.75
Argentina	Estonia	2000	ArgentinaEstonia	ArgentinaEstonia2000	Argentina2000	Estonia2000	1.1	284410	13533.353	12925.75
Argentina	Estonia	2005	ArgentinaEstonia	ArgentinaEstonia2005	Argentina2005	Estonia2005	4.6	181357	22275.16	12925.75
Argentina	Estonia	2008	ArgentinaEstonia	ArgentinaEstonia2008	Argentina2008	Estonia2008	5.6	324405	29582.225	12925.75
Argentina	Estonia	2009	ArgentinaEstonia	ArgentinaEstonia2009	Argentina2009	Estonia2009	7.1	305763	26095.389	12925.75
Argentina	Finland	1995	ArgentinaFinland	ArgentinaFinland1995	Argentina1995	Finland1995	30.6	258217	95862.202	12971.3
Argentina	Finland	2000	ArgentinaFinland	ArgentinaFinland2000	Argentina2000	Finland2000	37.3	284410	132874.37	12971.3
Argentina	Finland	2005	ArgentinaFinland	ArgentinaFinland2005	Argentina2005	Finland2005	56	181357	161096.83	12971.3
Argentina	Finland	2008	ArgentinaFinland	ArgentinaFinland2008	Argentina2008	Finland2008	90.9	324405	202336.73	12971.3
Argentina	Finland	2009	ArgentinaFinland	ArgentinaFinland2009	Argentina2009	Finland2009	50.7	305763	189747.17	12971.3
Argentina	France	1995	ArgentinaFrance	ArgentinaFrance1995	Argentina1995	France1995	591.5	258217	1200881.3	11072.25
Argentina	France	2000	ArgentinaFrance	ArgentinaFrance2000	Argentina2000	France2000	630.2	284410	1533008.1	11072.25
Argentina	France	2005	ArgentinaFrance	ArgentinaFrance2005	Argentina2005	France2005	871.5	181357	1860699.8	11072.25
Argentina	France	2008	ArgentinaFrance	ArgentinaFrance2008	Argentina2008	France2008	1364.8	324405	2191237.4	11072.25
Argentina	France	2009	ArgentinaFrance	ArgentinaFrance2009	Argentina2009	France2009	913.8	305763	2178296.8	11072.25
Argentina	Germany	1995	ArgentinaGermany	ArgentinaGermany1995	Argentina1995	Germany1995	1148.8	258217	1833376.3	11512.14
Argentina	Germany	2000	ArgentinaGermany	ArgentinaGermany2000	Argentina2000	Germany2000	1079.4	284410	2117499.3	11512.14
Argentina	Germany	2005	ArgentinaGermany	ArgentinaGermany2005	Argentina2005	Germany2005	1807	181357	2565997.4	11512.14
Argentina	Germany	2008	ArgentinaGermany	ArgentinaGermany2008	Argentina2008	Germany2008	2753.5	324405	3047862.9	11512.14
Argentina	Germany	2009	ArgentinaGermany	ArgentinaGermany2009	Argentina2009	Germany2009	2213.3	305763	2918240.5	11512.14
Argentina	Greece	1995	ArgentinaGreece	ArgentinaGreece1995	Argentina1995	Greece1995	73.7	258217	154393.63	11711.41
Argentina	Greece	2000	ArgentinaGreece	ArgentinaGreece2000	Argentina2000	Greece2000	106.3	284410	199196.62	11711.41
Argentina	Greece	2005	ArgentinaGreece	ArgentinaGreece2005	Argentina2005	Greece2005	230.6	181357	270363.81	11711.41
Argentina	Greece	2008	ArgentinaGreece	ArgentinaGreece2008	Argentina2008	Greece2008	468.8	324405	332659.54	11711.41
Argentina	Greece	2009	ArgentinaGreece	ArgentinaGreece2009	Argentina2009	Greece2009	404.3	305763	329465.98	11711.41
Argentina	Hong Kong, China	1995	ArgentinaHong Kong, China	ArgentinaHong Kong, China1995	Argentina1995	Hong Kong, China1995	184	258217	146403	18478.89
Argentina	Hong Kong, China	2000	ArgentinaHong Kong, China	ArgentinaHong Kong, China2000	Argentina2000	Hong Kong, China2000	238.6	284410	171669	18478.89
Argentina	Hong Kong, China	2005	ArgentinaHong Kong, China	ArgentinaHong Kong, China2005	Argentina2005	Hong Kong, China2005	28.1	181357	181570	18478.89
Argentina	Hong Kong, China	2008	ArgentinaHong Kong, China	ArgentinaHong Kong, China2008	Argentina2008	Hong Kong, China2008	183	324405	219289	18478.89
Argentina	Hong Kong, China	2009	ArgentinaHong Kong, China	ArgentinaHong Kong, China2009	Argentina2009	Hong Kong, China2009	317.9	305763	214046	18478.89
Argentina	Hungary	1995	ArgentinaHungary	ArgentinaHungary1995	Argentina1995	Hungary1995	19.3	258217	92666.247	11957.08
Argentina	Hungary	2000	ArgentinaHungary	ArgentinaHungary2000	Argentina2000	Hungary2000	12.1	284410	121324.1	11957.08
Argentina	Hungary	2005	ArgentinaHungary	ArgentinaHungary2005	Argentina2005	Hungary2005	9.9	181357	171223.49	11957.08
Argentina	Hungary	2008	ArgentinaHungary	ArgentinaHungary2008	Argentina2008	Hungary2008	25.9	324405	205079.56	11957.08
Argentina	Hungary	2009	ArgentinaHungary	ArgentinaHungary2009	Argentina2009	Hungary2009	14.7	305763	202972.36	11957.08
Argentina	Iceland	1995	ArgentinaIceland	ArgentinaIceland1995	Argentina1995	Iceland1995	0.2	258217	6196.97	11455.87
Argentina	Iceland	2000	ArgentinaIceland	ArgentinaIceland2000	Argentina2000	Iceland2000	0.5	284410	8109.8009	11455.87
Argentina	Iceland	2005	ArgentinaIceland	ArgentinaIceland2005	Argentina2005	Iceland2005	2	181357	10352.808	11455.87
Argentina	Iceland	2008	ArgentinaIceland	ArgentinaIceland2008	Argentina2008	Iceland2008	3.5	324405	12607.134	11455.87
Argentina	Iceland	2009	ArgentinaIceland	ArgentinaIceland2009	Argentina2009	Iceland2009	2.9	305763	11917.031	11455.87
Argentina	India	1995	ArgentinaIndia	ArgentinaIndia1995	Argentina1995	India1995	129.9	258217	0	15817.92
Argentina	India	2000	ArgentinaIndia	ArgentinaIndia2000	Argentina2000	India2000	482.6	284410	0	15817.92
Argentina	India	2005	ArgentinaIndia	ArgentinaIndia2005	Argentina2005	India2005	921.9	181357	2517203	15817.92
Argentina	India	2008	ArgentinaIndia	ArgentinaIndia2008	Argentina2008	India2008	995.2	324405	3454166	15817.92
Argentina	India	2009	ArgentinaIndia	ArgentinaIndia2009	Argentina2009	India2009	1131.4	305763	3880032.6	15817.92
Argentina	Indonesia	1995	ArgentinaIndonesia	ArgentinaIndonesia1995	Argentina1995	Indonesia1995	203.4	258217	491565.08	15235.78
Argentina	Indonesia	2000	ArgentinaIndonesia	ArgentinaIndonesia2000	Argentina2000	Indonesia2000	101.7	284410	500986.06	15235.78
Argentina	Indonesia	2005	ArgentinaIndonesia	ArgentinaIndonesia2005	Argentina2005	Indonesia2005	416.3	181357	705161.9	15235.78
Argentina	Indonesia	2008	ArgentinaIndonesia	ArgentinaIndonesia2008	Argentina2008	Indonesia2008	537.3	324405	910718.8	15235.78
Argentina	Indonesia	2009	ArgentinaIndonesia	ArgentinaIndonesia2009	Argentina2009	Indonesia2009	616.9	305763	960780.63	15235.78
Argentina	Ireland	1995	ArgentinaIreland	ArgentinaIreland1995	Argentina1995	Ireland1995	9.6	258217	65187.628	11012.97
Argentina	Ireland	2000	ArgentinaIreland	ArgentinaIreland2000	Argentina2000	Ireland2000	100.5	284410	109966.24	11012.97
Argentina	Ireland	2005	ArgentinaIreland	ArgentinaIreland2005	Argentina2005	Ireland2005	174.6	181357	161385.55	11012.97
Argentina	Ireland	2008	ArgentinaIreland	ArgentinaIreland2008	Argentina2008	Ireland2008	608.1	324405	187993.4	11012.97
Argentina	Ireland	2009	ArgentinaIreland	ArgentinaIreland2009	Argentina2009	Ireland2009	277.8	305763	179789.74	11012.97
Argentina	Israel	1995	ArgentinaIsrael	ArgentinaIsrael1995	Argentina1995	Israel1995	51.7	258217	104866.04	12241.62
Argentina	Israel	2000	ArgentinaIsrael	ArgentinaIsrael2000	Argentina2000	Israel2000	74.1	284410	147024.43	12241.62
Argentina	Israel	2005	ArgentinaIsrael	ArgentinaIsrael2005	Argentina2005	Israel2005	144.4	181357	161426.66	12241.62
Argentina	Israel	2008	ArgentinaIsrael	ArgentinaIsrael2008	Argentina2008	Israel2008	162.8	324405	186965.45	12241.62
Argentina	Israel	2009	ArgentinaIsrael	ArgentinaIsrael2009	Argentina2009	Israel2009	157.8	305763	194042.87	12241.62
Argentina	Italy	1995	ArgentinaItaly	ArgentinaItaly1995	Argentina1995	Italy1995	822.5	258217	1203934.1	11173.56
Argentina	Italy	2000	ArgentinaItaly	ArgentinaItaly2000	Argentina2000	Italy2000	940.9	284410	1466461.8	11173.56
Argentina	Italy	2005	ArgentinaItaly	ArgentinaItaly2005	Argentina2005	Italy2005	1308.8	181357	1657399.6	11173.56
Argentina	Italy	2008	ArgentinaItaly	ArgentinaItaly2008	Argentina2008	Italy2008	2416.2	324405	1996725	11173.56
Argentina	Italy	2009	ArgentinaItaly	ArgentinaItaly2009	Argentina2009	Italy2009	1813.9	305763	1939192	11173.56
Argentina	Japan	1995	ArgentinaJapan	ArgentinaJapan1995	Argentina1995	Japan1995	1382.6	258217	2871613.8	18372.04
Argentina	Japan	2000	ArgentinaJapan	ArgentinaJapan2000	Argentina2000	Japan2000	972.6	284410	3287033.6	18372.04
Argentina	Japan	2005	ArgentinaJapan	ArgentinaJapan2005	Argentina2005	Japan2005	1050.7	181357	3889582.4	18372.04
Argentina	Japan	2008	ArgentinaJapan	ArgentinaJapan2008	Argentina2008	Japan2008	1243.5	324405	4289493	18372.04
Argentina	Japan	2009	ArgentinaJapan	ArgentinaJapan2009	Argentina2009	Japan2009	991.3	305763	4049391.2	18372.04
Argentina	Korea	1995	ArgentinaKorea	ArgentinaKorea1995	Argentina1995	Korea1995	121.5	258217	577335.24	19447.35
Argentina	Korea	2000	ArgentinaKorea	ArgentinaKorea2000	Argentina2000	Korea2000	204.5	284410	808403.8	19447.35
Argentina	Korea	2005	ArgentinaKorea	ArgentinaKorea2005	Argentina2005	Korea2005	599.5	181357	1096740.8	19447.35
Argentina	Korea	2008	ArgentinaKorea	ArgentinaKorea2008	Argentina2008	Korea2008	1440.2	324405	1306387.2	19447.35
Argentina	Korea	2009	ArgentinaKorea	ArgentinaKorea2009	Argentina2009	Korea2009	1111.4	305763	1312165.4	19447.35
Argentina	Latvia	1995	ArgentinaLatvia	ArgentinaLatvia1995	Argentina1995	Latvia1995	0.5	258217	4973	12773.93
Argentina	Latvia	2000	ArgentinaLatvia	ArgentinaLatvia2000	Argentina2000	Latvia2000	0.6	284410	7776	12773.93
Argentina	Latvia	2005	ArgentinaLatvia	ArgentinaLatvia2005	Argentina2005	Latvia2005	2.1	181357	15938	12773.93
Argentina	Latvia	2008	ArgentinaLatvia	ArgentinaLatvia2008	Argentina2008	Latvia2008	3.5	324405	33453	12773.93
Argentina	Latvia	2009	ArgentinaLatvia	ArgentinaLatvia2009	Argentina2009	Latvia2009	3.1	305763	25854	12773.93
Argentina	Lithuania	1995	ArgentinaLithuania	ArgentinaLithuania1995	Argentina1995	Lithuania1995	1	258217	6731	12731.28
Argentina	Lithuania	2000	ArgentinaLithuania	ArgentinaLithuania2000	Argentina2000	Lithuania2000	5.9	284410	11501	12731.28
Argentina	Lithuania	2005	ArgentinaLithuania	ArgentinaLithuania2005	Argentina2005	Lithuania2005	7.8	181357	26100	12731.28
Argentina	Lithuania	2008	ArgentinaLithuania	ArgentinaLithuania2008	Argentina2008	Lithuania2008	17.5	324405	47483	12731.28
Argentina	Lithuania	2009	ArgentinaLithuania	ArgentinaLithuania2009	Argentina2009	Lithuania2009	15.9	305763	37124	12731.28
Argentina	Luxembourg	1995	ArgentinaLuxembourg	ArgentinaLuxembourg1995	Argentina1995	Luxembourg1995	11.1	258217	15881.489	11333.12
Argentina	Luxembourg	2000	ArgentinaLuxembourg	ArgentinaLuxembourg2000	Argentina2000	Luxembourg2000	3	284410	23406.699	11333.12
Argentina	Luxembourg	2005	ArgentinaLuxembourg	ArgentinaLuxembourg2005	Argentina2005	Luxembourg2005	22.7	181357	31765.783	11333.12
Argentina	Luxembourg	2008	ArgentinaLuxembourg	ArgentinaLuxembourg2008	Argentina2008	Luxembourg2008	12.8	324405	41238.444	11333.12
Argentina	Luxembourg	2009	ArgentinaLuxembourg	ArgentinaLuxembourg2009	Argentina2009	Luxembourg2009	8.8	305763	39500.015	11333.12
Argentina	Malaysia	1995	ArgentinaMalaysia	ArgentinaMalaysia1995	Argentina1995	Malaysia1995	270	258217	88832	15970.66
Argentina	Malaysia	2000	ArgentinaMalaysia	ArgentinaMalaysia2000	Argentina2000	Malaysia2000	193.3	284410	93789	15970.66
Argentina	Malaysia	2005	ArgentinaMalaysia	ArgentinaMalaysia2005	Argentina2005	Malaysia2005	674.8	181357	143540	15970.66
Argentina	Malaysia	2008	ArgentinaMalaysia	ArgentinaMalaysia2008	Argentina2008	Malaysia2008	725.4	324405	231072	15970.66
Argentina	Malaysia	2009	ArgentinaMalaysia	ArgentinaMalaysia2009	Argentina2009	Malaysia2009	657	305763	202284	15970.66
Argentina	Malta	1995	ArgentinaMalta	ArgentinaMalta1995	Argentina1995	Malta1995	2.9	258217	3734	10906.92
Argentina	Malta	2000	ArgentinaMalta	ArgentinaMalta2000	Argentina2000	Malta2000	6.5	284410	4043	10906.92
Argentina	Malta	2005	ArgentinaMalta	ArgentinaMalta2005	Argentina2005	Malta2005	1.1	181357	6139	10906.92
Argentina	Malta	2008	ArgentinaMalta	ArgentinaMalta2008	Argentina2008	Malta2008	2	324405	8776	10906.92
Argentina	Malta	2009	ArgentinaMalta	ArgentinaMalta2009	Argentina2009	Malta2009	2.1	305763	8314	10906.92
Argentina	Mexico	1995	ArgentinaMexico	ArgentinaMexico1995	Argentina1995	Mexico1995	175	258217	686643.29	7397.651
Argentina	Mexico	2000	ArgentinaMexico	ArgentinaMexico2000	Argentina2000	Mexico2000	241.1	284410	987112.92	7397.651
Argentina	Mexico	2005	ArgentinaMexico	ArgentinaMexico2005	Argentina2005	Mexico2005	1175.6	181357	1293788.1	7397.651
Argentina	Mexico	2008	ArgentinaMexico	ArgentinaMexico2008	Argentina2008	Mexico2008	1254.7	324405	1627067.9	7397.651
Argentina	Mexico	2009	ArgentinaMexico	ArgentinaMexico2009	Argentina2009	Mexico2009	995.5	305763	1605272.4	7397.651
Argentina	Netherlands	1995	ArgentinaNetherlands	ArgentinaNetherlands1995	Argentina1995	Netherlands1995	660.6	258217	332570.89	11466.75
Argentina	Netherlands	2000	ArgentinaNetherlands	ArgentinaNetherlands2000	Argentina2000	Netherlands2000	566.4	284410	468263.39	11466.75
Argentina	Netherlands	2005	ArgentinaNetherlands	ArgentinaNetherlands2005	Argentina2005	Netherlands2005	726.2	181357	572900.6	11466.75
Argentina	Netherlands	2008	ArgentinaNetherlands	ArgentinaNetherlands2008	Argentina2008	Netherlands2008	1368.3	324405	705759.48	11466.75
Argentina	Netherlands	2009	ArgentinaNetherlands	ArgentinaNetherlands2009	Argentina2009	Netherlands2009	1414.2	305763	677507.72	11466.75
Argentina	New Zealand	1995	ArgentinaNew Zealand	ArgentinaNew Zealand1995	Argentina1995	New Zealand1995	14.7	258217	64733.157	9729.112
Argentina	New Zealand	2000	ArgentinaNew Zealand	ArgentinaNew Zealand2000	Argentina2000	New Zealand2000	64	284410	81535.762	9729.112
Argentina	New Zealand	2005	ArgentinaNew Zealand	ArgentinaNew Zealand2005	Argentina2005	New Zealand2005	21.2	181357	104621.74	9729.112
Argentina	New Zealand	2008	ArgentinaNew Zealand	ArgentinaNew Zealand2008	Argentina2008	New Zealand2008	51.5	324405	123833.72	9729.112
Argentina	New Zealand	2009	ArgentinaNew Zealand	ArgentinaNew Zealand2009	Argentina2009	New Zealand2009	51.4	305763	128182.18	9729.112
Argentina	Norway	1995	ArgentinaNorway	ArgentinaNorway1995	Argentina1995	Norway1995	44.6	258217	102642.65	12270.74
Argentina	Norway	2000	ArgentinaNorway	ArgentinaNorway2000	Argentina2000	Norway2000	97.6	284410	162264.29	12270.74
Argentina	Norway	2005	ArgentinaNorway	ArgentinaNorway2005	Argentina2005	Norway2005	285.6	181357	220190.15	12270.74
Argentina	Norway	2008	ArgentinaNorway	ArgentinaNorway2008	Argentina2008	Norway2008	434.3	324405	292492.13	12270.74
Argentina	Norway	2009	ArgentinaNorway	ArgentinaNorway2009	Argentina2009	Norway2009	335	305763	264532.57	12270.74
Argentina	Philippines	1995	ArgentinaPhilippines	ArgentinaPhilippines1995	Argentina1995	Philippines1995	19.7	258217	82121	17801.66
Argentina	Philippines	2000	ArgentinaPhilippines	ArgentinaPhilippines2000	Argentina2000	Philippines2000	18	284410	81023	17801.66
Argentina	Philippines	2005	ArgentinaPhilippines	ArgentinaPhilippines2005	Argentina2005	Philippines2005	270.5	181357	103074	17801.66
Argentina	Philippines	2008	ArgentinaPhilippines	ArgentinaPhilippines2008	Argentina2008	Philippines2008	351.5	324405	173603	17801.66
Argentina	Philippines	2009	ArgentinaPhilippines	ArgentinaPhilippines2009	Argentina2009	Philippines2009	372.7	305763	168485	17801.66
Argentina	Poland	1995	ArgentinaPoland	ArgentinaPoland1995	Argentina1995	Poland1995	15.5	258217	285876.01	12351.58
Argentina	Poland	2000	ArgentinaPoland	ArgentinaPoland2000	Argentina2000	Poland2000	62.4	284410	404310.13	12351.58
Argentina	Poland	2005	ArgentinaPoland	ArgentinaPoland2005	Argentina2005	Poland2005	354	181357	526078.6	12351.58
Argentina	Poland	2008	ArgentinaPoland	ArgentinaPoland2008	Argentina2008	Poland2008	690.6	324405	687046.12	12351.58
Argentina	Poland	2009	ArgentinaPoland	ArgentinaPoland2009	Argentina2009	Poland2009	645.9	305763	717115.69	12351.58
Argentina	Portugal	1995	ArgentinaPortugal	ArgentinaPortugal1995	Argentina1995	Portugal1995	88.5	258217	135017.25	9621.854
Argentina	Portugal	2000	ArgentinaPortugal	ArgentinaPortugal2000	Argentina2000	Portugal2000	144	284410	181963.24	9621.854
Argentina	Portugal	2005	ArgentinaPortugal	ArgentinaPortugal2005	Argentina2005	Portugal2005	164.9	181357	225430.21	9621.854
Argentina	Portugal	2008	ArgentinaPortugal	ArgentinaPortugal2008	Argentina2008	Portugal2008	422.2	324405	264911.93	9621.854
Argentina	Portugal	2009	ArgentinaPortugal	ArgentinaPortugal2009	Argentina2009	Portugal2009	155.4	305763	264660.95	9621.854
Argentina	Romania	1995	ArgentinaRomania	ArgentinaRomania1995	Argentina1995	Romania1995	21.4	258217	35477	12249.37
Argentina	Romania	2000	ArgentinaRomania	ArgentinaRomania2000	Argentina2000	Romania2000	8.5	284410	37333	12249.37
Argentina	Romania	2005	ArgentinaRomania	ArgentinaRomania2005	Argentina2005	Romania2005	22.2	181357	99173	12249.37
Argentina	Romania	2008	ArgentinaRomania	ArgentinaRomania2008	Argentina2008	Romania2008	95.8	324405	204340	12249.37
Argentina	Romania	2009	ArgentinaRomania	ArgentinaRomania2009	Argentina2009	Romania2009	38.9	305763	164344	12249.37
Argentina	Russian Federation	1995	ArgentinaRussian Federation	ArgentinaRussian Federation1995	Argentina1995	Russian Federation1995	197.6	258217	830723	13505.36
